occupation_id,category_name,risk_level,income_stability,typical_income_range,credit_risk_modifier
OC001,Healthcare Professional,Low,High,75000-250000,0.8
OC002,Technology,Low,High,80000-200000,0.85
OC003,Education,Low,High,40000-80000,0.9
OC004,Government,Low,Very High,50000-120000,0.75
OC005,Finance Professional,Medium,High,70000-300000,0.95
OC006,Legal Professional,Low,High,80000-400000,0.8
OC007,Sales,Medium,Medium,35000-150000,1.1
OC008,Construction,High,Low,40000-90000,1.3
OC009,Service Industry,Medium,Low,25000-60000,1.2
OC010,Retired,Low,High,20000-80000,0.85 
